"","Min.","X1st.Qu.","Median","Mean","X3rd.Qu.","Max.","NA.s"
"S Distractions Pull_mean",1,3,3,3.26020408163265,4,4.5,0
"S Sensitivity",1.5,3,3,3.10714285714286,3.5,4,0
"S Crate Stimulus_mean",1.25,1.25,1.5,1.57291666666667,1.75,3.25,2
"S Petting Stimulus During_mean",1,2,2,2.10824742268041,2.5,4,1
