"","Estimate","P-value","OR","2.5 %","97.5 %"
"(Intercept)",-1.66955571034981,2.00701753153356e-07,0.188330720443796,0.094203111478931,0.336666585570181
"S Distractions Pull_mean",-0.910339246813411,0.00385947020390378,0.402387692133627,0.206822192816097,0.722446040379119
"S Petting Stimulus During_mean",-0.771220278058323,0.016414345291644,0.462448408214483,0.235162615085023,0.83923391734512
"S Sensitivity",-0.566181208561669,0.0450702704847465,0.567689191233297,0.313883512320214,0.968458567947236
"S Crate Stimulus_mean",0.411099546176696,0.123850517900771,1.5084755120541,0.883945857935663,2.56971442866212
