"","Estimate","P-value","OR","2.5 %","97.5 %"
"(Intercept)",-4.44873601571348e-14,0.999999999999975,0.999999999999955,0.0395441703228744,25.2881775451372
"xLR",-0.949080554694833,0.514072200529536,0.387096774194444,0.0145043892517967,10.3135357967694
"xLRxGR",-1.72722094809043,0.238511042761924,0.177777777777787,0.00655661329318394,4.79950951814568
