"","estimate_0","estimate_1","se_0","se_1","z_value_0","z_value_1","p_value_0","p_value_1","deviance"
"Familiarisation Response  Oriented to Handler ",-1.8247,0.2436,0.5807,0.219,-3.1424,1.1125,0.0017,0.2659,99.151
"Familiarisation Response  Exploration ",0.0376,-0.3186,0.9491,0.2226,0.0396,-1.4312,0.9684,0.1524,99.8686
"Familiarisation Response  Waiting ",-1.5891,0.1955,0.5205,0.2897,-3.053,0.6749,0.0023,0.4997,100.9163
"Call Back Response",-1.7033,0.2019,0.7278,0.4938,-2.3404,0.4088,0.0193,0.6827,81.2131
"Walking Distractibility",-1.4326,0.069,0.652,0.3107,-2.1973,0.2222,0.028,0.8242,101.7883
"Walking Pull on leash",-1.1172,-0.098,0.5149,0.2471,-2.1699,-0.3965,0.03,0.6917,101.6779
"Walking Pull strength",-1.1013,-0.1235,0.5991,0.3447,-1.8384,-0.3582,0.066,0.7202,101.7067
"Walking Initiative",-2.4124,0.4476,0.8639,0.3243,-2.7923,1.3803,0.0052,0.1675,99.936
"Standing Response",-1.5749,0.1097,0.6561,0.2388,-2.4005,0.4594,0.0164,0.646,101.6262
"Sitting Response",-1.2982,0.0098,0.638,0.229,-2.0348,0.0429,0.0419,0.9658,100.8599
"Lying Response",-1.4333,0.05,0.6343,0.2165,-2.2597,0.2308,0.0238,0.8174,101.7842
"Lying Settled",-1.7943,0.1955,0.6499,0.2488,-2.7611,0.7857,0.0058,0.432,97.6349
"Body check Table",0.0923,-0.4776,0.8584,0.2659,0.1075,-1.7962,0.9144,0.0725,88.242
"Body check Response",-0.758,-0.1864,1.033,0.3485,-0.7338,-0.535,0.4631,0.5927,101.5557
"Distractions First Response  Teddy ",-0.9614,-0.0934,0.6624,0.1724,-1.4514,-0.5414,0.1467,0.5882,101.5442
"Distractions First Response  Human ",-8e-04,-0.3983,0.9088,0.2761,-8e-04,-1.4426,0.9993,0.1491,99.6767
"Distractions First Response  Car ",-0.3878,-0.2996,0.8108,0.2604,-0.4782,-1.1506,0.6325,0.2499,100.4807
"Distractions First Response  Food ",-1.8132,0.12,0.8883,0.1965,-2.0411,0.6105,0.0412,0.5416,101.4505
"Distractions Second Response  Teddy ",-1.2503,-0.0182,0.5385,0.1791,-2.322,-0.1019,0.0202,0.9189,101.8272
"Distractions Second Response  Human ",-0.2123,-0.3754,0.8298,0.2852,-0.2559,-1.3161,0.798,0.1881,99.5399
"Distractions Second Response  Car ",-1.3263,0.0153,0.7233,0.2599,-1.8335,0.059,0.0667,0.953,101.349
"Distractions Second Response  Food ",-2.0448,0.1986,0.816,0.1954,-2.5057,1.0165,0.0122,0.3094,99.8037
"Distractions Pull on leash",-0.02,-0.4363,0.9842,0.3322,-0.0203,-1.3132,0.9838,0.1891,100.0935
"Distractions Human",0.4646,-0.3421,1.3479,0.2614,0.3447,-1.3088,0.7303,0.1906,100.0888
"Kong Presentation Response",-1.6887,0.109,0.7335,0.1904,-2.3023,0.5723,0.0213,0.5671,101.5052
"Kong Interaction Response to stimulus",-1.3689,0.0071,1.4334,0.4785,-0.955,0.0148,0.3396,0.9882,98.7184
"Kong Interaction Response to handler",-1.3257,0.0338,0.5133,0.2874,-2.5825,0.1177,0.0098,0.9063,100.8479
