"","estimate_0","estimate_1","se_0","se_1","z_value_0","z_value_1","p_value_0","p_value_1","deviance"
"Kong Interaction Back",-1.6725,0.2243,0.4701,0.2358,-3.5575,0.9515,4e-04,0.3414,96.4473
"Kong Return Handler",-2.1723,0.4002,1.2333,0.554,-1.7614,0.7224,0.0782,0.4701,96.8045
"Dog Response",-0.7712,-0.1088,0.9395,0.1888,-0.8209,-0.5762,0.4117,0.5645,101.5041
"Dog Call Back Response",-1.3977,0.0208,0.5712,0.2774,-2.4468,0.0749,0.0144,0.9403,94.1676
"Crate Entering",-1.5803,0.1587,0.6001,0.3674,-2.6335,0.432,0.0085,0.6657,98.5363
"Crate Behaviours  Settled ",-1.4686,0.0309,0.5544,0.218,-2.6491,0.1416,0.0081,0.8874,95.5002
"Crate Behaviours  Sniffing Exploring  ",-3.0667,0.587,0.9511,0.3093,-3.2243,1.8979,0.0013,0.0577,91.8109
"Crate Behaviours  Actively Seeking Attention ",-0.6947,-0.3683,0.4811,0.2375,-1.444,-1.5509,0.1487,0.1209,92.2576
"Crate Behaviours  Digging ",-1.9644,0.4824,0.5623,0.4159,-3.4937,1.1598,5e-04,0.2461,94.2786
"Crate Behaviours  Whining ",-1.0438,-0.1879,0.5283,0.2603,-1.9757,-0.7219,0.0482,0.4704,89.5226
"Crate Behaviours  Barking ",-0.9561,-0.3105,0.4795,0.3123,-1.9939,-0.9943,0.0462,0.3201,93.8804
"Crate Self Modulation",-0.9624,-0.2164,0.6738,0.3152,-1.4284,-0.6865,0.1532,0.4924,95.047
"Crate Behaviours  Nudging Crate ",-2.0941,0.5702,0.6057,0.4363,-3.4573,1.3068,5e-04,0.1913,93.9375
"Crate Behaviours  Pawing ",-1.4101,0.0085,0.5696,0.403,-2.4756,0.0211,0.0133,0.9832,95.5197
"Crate Stress",-0.9293,-0.2074,0.8234,0.3505,-1.1286,-0.5916,0.2591,0.5541,95.1628
"Petting Handler Stimulus",0.4419,-1.5561,1.1374,1.0481,0.3886,-1.4847,0.6976,0.1376,97.9227
"Petting Handler Holding dog",-2.1595,0.7284,0.6753,0.5113,-3.1979,1.4246,0.0014,0.1543,99.4254
"Petting Confidence During",0.6521,-0.6646,0.8818,0.3003,0.7395,-2.2128,0.4596,0.0269,96.1817
"Petting Responsiveness After",0.2164,-0.4051,1.0805,0.2923,0.2002,-1.3862,0.8413,0.1657,98.8721
"Isolation Response  Time oriented ",-1.0711,-0.0514,1.0945,0.2724,-0.9787,-0.1887,0.3277,0.8503,100.8263
"Isolation Response  Exploration ",-1.4106,0.0589,0.5591,0.2357,-2.5231,0.2501,0.0116,0.8025,101.2903
"Isolation Response  Unsettled Pacing ",-1.5219,0.1185,0.5591,0.2483,-2.722,0.4771,0.0065,0.6333,101.1292
"Isolation Response  Whining ",-0.86,-0.1665,0.5715,0.2653,-1.5048,-0.6274,0.1324,0.5304,97.3839
"Isolation Response  Barking ",-1.3963,0.0741,0.4354,0.2384,-3.2068,0.3111,0.0013,0.7558,101.2581
"Reunion Response",-1.3503,0.0037,1.269,0.2962,-1.0641,0.0123,0.2873,0.9902,98.2539
"Noise Confidence",-0.5061,-0.2026,1.5075,0.3887,-0.3357,-0.5212,0.7371,0.6023,101.0726
"S Familiarisation Handler_mean",-1.8758,0.3063,0.6004,0.2761,-3.1244,1.1094,0.0018,0.2672,100.1582
"S Familiarisation Handler_prod",-1.4589,0.0398,0.333,0.0535,-4.3805,0.7443,0,0.4567,101.3156
"S Walking Pull_mean",-1.0987,-0.1159,0.5618,0.2958,-1.9556,-0.3918,0.0505,0.6952,101.6816
"S Walking Pull_prod",-1.3137,0.0038,0.3594,0.0698,-3.6548,0.0551,3e-04,0.956,101.8346
"S Distractions Pull_mean",0.5154,-0.5776,0.9346,0.297,0.5514,-1.9448,0.5813,0.0518,97.8651
"S Distractions Pull_prod",-0.3091,-0.0955,0.551,0.051,-0.5609,-1.8738,0.5749,0.061,97.9609
"S Walking Distractions Pull_mean",-0.7984,-0.3545,0.4177,0.253,-1.9113,-1.4014,0.056,0.1611,99.8472
"S Walking Distractions Pull_prod",-0.698,-0.0896,0.3836,0.0477,-1.8196,-1.8785,0.0688,0.0603,98.0549
"S Obedience_mean",-1.7266,0.1655,0.9803,0.3645,-1.7614,0.4541,0.0782,0.6497,101.6309
"S Obedience_prod",-1.2891,-6e-04,0.3754,0.0162,-3.4341,-0.0357,6e-04,0.9715,101.8364
"S Sensitivity",1.235,-0.8343,1.3555,0.4481,0.9111,-1.862,0.3622,0.0626,98.2924
"S Tea Towel First Response",-0.8089,-0.2993,0.4605,0.2562,-1.7567,-1.1684,0.079,0.2426,99.9533
"S Tea Towel Second Response",-1.2051,-0.0804,0.4061,0.2242,-2.9675,-0.3586,0.003,0.7199,97.6547
"S Distractions First Response_mean",-0.3733,-0.2608,1.1797,0.3289,-0.3165,-0.7929,0.7517,0.4278,101.1959
"S Distractions First Response_prod",-1.0003,-0.0017,0.3616,0.0016,-2.7659,-1.0406,0.0057,0.2981,100.5997
"S Distractions Second Response_mean",-1.2268,-0.024,0.9371,0.2998,-1.3092,-0.08,0.1905,0.9362,101.8312
"S Distractions Second Response_prod",-1.0958,-0.0023,0.3229,0.0026,-3.3937,-0.8895,7e-04,0.3737,100.919
"S Distractions Difference_mean",-1.1425,0.2912,0.3015,0.3463,-3.7895,0.8409,2e-04,0.4004,101.1329
"S Kong Response_mean",-2.1828,0.3431,1.1519,0.432,-1.8949,0.7942,0.0581,0.4271,101.214
"S Kong Response_prod",-1.5218,0.0052,0.3167,0.0044,-4.8057,1.1955,0,0.2319,100.4776
"S Dog Distraction_mean",-1.1946,-0.0304,0.8559,0.2386,-1.3957,-0.1274,0.1628,0.8986,101.8214
"S Dog Distraction_prod",-1.2045,-0.0104,0.4387,0.0402,-2.7455,-0.2578,0.006,0.7966,101.7701
"S Call Response_mean",-1.2623,-0.0459,0.6987,0.413,-1.8066,-0.1111,0.0708,0.9115,98.2417
"S Call Response_prod",-1.2852,-0.006,0.4193,0.1452,-3.0655,-0.0413,0.0022,0.9671,101.8359
"S Familiarisation Dog Call",-1.4929,-0.0461,0.3325,0.2854,-4.4902,-0.1614,0,0.8718,77.1865
"S Crate Response_mean",-1.38,0.0148,0.8463,0.374,-1.6306,0.0395,0.103,0.9685,98.717
"S Crate Response_prod",-0.998,-0.0136,0.3286,0.0111,-3.0374,-1.2224,0.0024,0.2216,100.0129
"S Crate Stimulus_mean",-2.9733,0.973,0.9693,0.5643,-3.0676,1.7244,0.0022,0.0846,92.6266
"S Crate Stimulus_prod",-1.3921,0.0135,0.2722,0.0156,-5.1153,0.8689,0,0.3849,101.1256
"S Crate Handler_mean",-0.7072,-0.4112,0.5502,0.3084,-1.2853,-1.3335,0.1987,0.1824,93.5144
"S Crate Handler_prod",-1.0587,-0.0319,0.2887,0.0243,-3.667,-1.31,2e-04,0.1902,99.6143
"S Petting Stimulus During_mean",1.3476,-1.3076,1.0981,0.5508,1.2273,-2.3742,0.2197,0.0176,94.8632
"S Petting Stimulus During_prod",-0.0246,-0.3908,0.6601,0.2051,-0.0372,-1.9058,0.9703,0.0567,96.4703
"S Petting Engagement During_mean",0.3249,-0.783,1.1429,0.5535,0.2842,-1.4144,0.7762,0.1572,99.2875
"S Petting Engagement During_prod",-0.9142,-0.113,0.6219,0.1714,-1.47,-0.6591,0.1416,0.5098,101.3702
"S Petting After_mean",-0.6826,-0.2481,1.2809,0.52,-0.533,-0.4771,0.5941,0.6333,101.1248
"S Petting After_prod",-1.6772,0.0873,0.6348,0.133,-2.6421,0.6566,0.0082,0.5115,101.4229
"S Isolation Handler_mean",-1.1003,-0.0756,0.9715,0.3834,-1.1325,-0.1971,0.2574,0.8438,101.3135
"S Isolation Handler_prod",-1.2941,-4e-04,0.3401,0.0192,-3.8051,-0.0219,1e-04,0.9825,101.8372
"S Isolation Stimulus",-1.2828,-0.0283,0.2473,0.1864,-5.1862,-0.152,0,0.8792,101.3294
"S Sociability_mean",1.4133,-0.7571,1.4272,0.401,0.9903,-1.8878,0.322,0.0591,98.0696
"S Sociability_prod",-0.6,-0.0153,0.5112,0.0104,-1.1737,-1.4642,0.2405,0.1431,99.4136
"Body check General  Mouths ",-1.24593700342497,-15.3201314190537,0.247624065381445,1385.37781178326,-5.03156670780647,-0.0110584501128494,4.86487775311283e-07,0.991176813219166,99.8623986580651
"Body check General  Licks ",-1.16315080980568,-1.3217558399816,0.256173769148822,1.07189418254619,-4.54047584056102,-1.23310291398531,5.61274103774706e-06,0.217537370438761,99.261820292567
"Tea Towel First Response  Indifferent ",-1.41528189799304,1.00981678988488,0.270387162537199,0.699839895783096,-5.2342791895615,1.44292544047511,1.6562994099521e-07,0.149041475710163,99.4096584012611
"Tea Towel First Response  Change from Neutral ",-0.810930216215489,-0.560549059118983,0.600924970839908,0.659438913713865,-1.34946999303766,-0.850039400862851,0.177186052262978,0.395303180923459,100.667443522365
"Tea Towel First Response  Turns head ",-1.1786549963393,-0.131266385995273,0.571771425102904,0.633734202030417,-2.06140941046009,-0.207131610657448,0.0392639978312718,0.835907075647557,101.310247839529
"Tea Towel First Response  Attempts to Removes towel by moving ",-1.21302263984393,-0.147953913291331,0.343418036813508,0.493535099605208,-3.53220422287448,-0.299783973641759,0.00041211095713989,0.764341940602143,101.262554466769
"Tea Towel First Response  Attempts to Removes towel with mouth ",-0.998528830108402,-0.693147180562669,0.31264069765639,0.51664024023308,-3.19385427934863,-1.34164381049753,0.00140386961662002,0.179711513909291,99.479527217385
"Tea Towel First Response  Plays ",-1.20896034583501,-0.988264214522434,0.254804392524538,1.08436768040802,-4.74466053688059,-0.911373727175802,2.08856286249865e-06,0.362098491791352,100.311570173177
"Tea Towel Second Response  Indifferent ",-1.31730148963227,-0.0176995770995555,0.290729659782196,0.580650598586851,-4.5310185779433,-0.03048231956125,5.86999756562745e-06,0.975682393775273,97.7831706684994
"Tea Towel Second Response  Turns head ",-1.42711635564007,0.154150679828331,0.454605987106515,0.545980833874018,-3.13923792496312,0.282337163256357,0.00169387854813562,0.777684992037993,97.7034307019285
"Tea Towel Second Response  Change from Neutral ",-1.43508452528927,0.154150679828258,0.497613283414367,0.576891733316777,-2.88393532311367,0.267209028879621,0.00392739405674606,0.789308224786684,97.7116130408062
"Tea Towel Second Response  Attempts to Removes towel by moving ",-1.04596855517971,-0.645707455491368,0.322412667341236,0.522611576660057,-3.24419187312101,-1.23553990062371,0.00117784375178572,0.216629636170698,96.2060255664911
"Tea Towel Second Response  Attempts to Removes towel with mouth ",-1.24171313230724,-0.213574100299572,0.314873259851144,0.524724318555052,-3.94353313105806,-0.407021540163599,8.02898933113877e-05,0.683992167813835,97.6164223992248
"Tea Towel Second Response  Plays ",-1.34117392583895,0.137201121515043,0.272411618251528,0.712418965283851,-4.92333599589939,0.192584880808693,8.50811844682456e-07,0.847284086632428,97.7476654691037
"Crate Urinating",-1.38629436111989,-14.1797738876953,0.256494588021289,1455.39755503108,-5.40477041568156,-0.00974288697866643,6.48914557928242e-08,0.992226423885227,95.0764608196098
"Sex",-1.63413052502447,0.615560944032761,0.386510341261018,0.504074326845418,-4.22790893431985,1.22117098858227,2.35873216098156e-05,0.222021286181346,100.310757430212
