"","Significance","Estimate","p_value","OR","2.5 %","97.5 %"
"S Distractions Pull_mean","**",-0.5776,0.0518,0.561243736443235,0.3,0.99
"S Sensitivity","**",-0.8343,0.0626,0.434178299894049,0.17,1.03
"S Crate Stimulus_mean","**",0.973,0.0846,2.64587017536194,0.86,8.37
"S Petting Stimulus During_mean","***",-1.3076,0.0176,0.270468402223811,0.08,0.75
