"","Significance","Estimate","p_value","OR","2.5 %","97.5 %"
"S Petting After_prod",NA,0.09,0.51,1.09,0.82,1.41
"S Isolation Handler_mean",NA,-0.08,0.84,0.93,0.43,1.95
"S Isolation Handler_prod",NA,0,0.98,1,0.96,1.04
"S Isolation Stimulus",NA,-0.03,0.88,0.97,0.67,1.41
"S Sociability_mean","**",-0.76,0.06,0.47,0.21,1.01
"S Sociability_prod","*",-0.02,0.14,0.98,0.96,1
"Body check General  Mouths ",NA,-15.32,0.99,0,NA,5.76490674025683e+71
"Body check General  Licks ",NA,-1.32,0.22,0.27,0.01,1.48
"Tea Towel First Response  Indifferent ","*",1.01,0.15,2.75,0.64,10.73
"Tea Towel First Response  Change from Neutral ",NA,-0.56,0.4,0.57,0.16,2.31
"Tea Towel First Response  Turns head ",NA,-0.13,0.84,0.88,0.27,3.42
"Tea Towel First Response  Attempts to Removes towel by moving ",NA,-0.15,0.76,0.86,0.32,2.28
"Tea Towel First Response  Attempts to Removes towel with mouth ",NA,-0.69,0.18,0.5,0.17,1.34
"Tea Towel First Response  Plays ",NA,-0.99,0.36,0.37,0.02,2.16
"Tea Towel Second Response  Indifferent ",NA,-0.02,0.98,0.98,0.29,2.93
"Tea Towel Second Response  Turns head ",NA,0.15,0.78,1.17,0.41,3.63
"Tea Towel Second Response  Change from Neutral ",NA,0.15,0.79,1.17,0.39,3.95
"Tea Towel Second Response  Attempts to Removes towel by moving ",NA,-0.65,0.22,0.52,0.18,1.43
"Tea Towel Second Response  Attempts to Removes towel with mouth ",NA,-0.21,0.68,0.81,0.28,2.21
"Tea Towel Second Response  Plays ",NA,0.14,0.85,1.15,0.24,4.25
"Crate Urinating",NA,-14.18,0.99,0,NA,4.27981240892397e+122
"Sex",NA,0.62,0.22,1.85,0.7,5.16
