"","Significance","Estimate","p_value","OR","2.5 %","97.5 %"
"Familiarisation Response  Oriented to Handler ",NA,-0.48,0.15,0.62,0.29,1.12
"Familiarisation Response  Exploration ",NA,0.15,0.67,1.16,0.63,2.69
"Familiarisation Response  Waiting ",NA,-1.43,0.17,0.24,0.01,1.01
"Call Back Response",NA,-0.85,0.45,0.43,0.02,2.81
"Walking Distractibility",NA,0.03,0.93,1.03,0.45,2.31
"Walking Pull on leash","***",-1.44,0.03,0.24,0.05,0.71
"Walking Pull strength","***",-1.9,0.02,0.15,0.02,0.62
"Walking Initiative",NA,0.42,0.31,1.53,0.67,3.54
"Standing Response",NA,0.5,0.16,1.65,0.85,3.55
"Sitting Response",NA,-0.14,0.63,0.87,0.48,1.57
"Lying Response",NA,-0.25,0.34,0.78,0.47,1.31
"Lying Settled",NA,-0.04,0.91,0.97,0.54,1.76
"Body check Table","*",-0.42,0.14,0.66,0.37,1.17
"Body check Response",NA,-0.45,0.36,0.64,0.23,1.73
"Distractions First Response  Teddy ",NA,-0.14,0.59,0.87,0.51,1.41
"Distractions First Response  Human ",NA,0.19,0.61,1.21,0.59,2.56
"Distractions First Response  Car ","***",0.79,0.02,2.21,1.18,4.71
"Distractions First Response  Food ",NA,0.18,0.46,1.19,0.76,1.98
"Distractions Second Response  Teddy ",NA,-0.04,0.87,0.96,0.53,1.59
"Distractions Second Response  Human ",NA,-0.19,0.61,0.82,0.38,1.7
"Distractions Second Response  Car ",NA,0.39,0.19,1.47,0.82,2.69
"Distractions Second Response  Food ",NA,0.21,0.4,1.24,0.74,2.08
"Distractions Pull on leash",NA,0.04,0.93,1.04,0.44,2.39
"Distractions Human",NA,0.03,0.94,1.03,0.48,2.19
"Kong Presentation Response",NA,-0.15,0.59,0.86,0.51,1.48
"Kong Interaction Response to stimulus","***",2.16,0.03,8.63,1.31,73.31
"Kong Interaction Response to handler",NA,0.03,0.94,1.03,0.46,2.15
"Kong Interaction Back",NA,0.37,0.25,1.44,0.74,2.74
"Kong Return Handler","**",1.27,0.06,3.58,0.96,17.3
"Dog Response",NA,0.03,0.89,1.03,0.65,1.65
"Dog Call Back Response",NA,0.35,0.34,1.42,0.67,2.93
"Crate Entering",NA,-0.26,0.71,0.77,0.13,2.51
"Crate Behaviours  Settled ",NA,0,1,1,0.57,1.77
"Crate Behaviours  Sniffing Exploring  ",NA,0.28,0.43,1.33,0.65,2.73
"Crate Behaviours  Actively Seeking Attention ","**",-0.87,0.08,0.42,0.12,0.92
"Crate Behaviours  Digging ",NA,0.54,0.39,1.71,0.42,5.91
"Crate Behaviours  Whining ","*",-0.81,0.12,0.45,0.12,1.03
"Crate Behaviours  Barking ",NA,-15.72,0.99,0,NA,1.5340642211143e+70
"Crate Self Modulation",NA,-0.12,0.79,0.89,0.35,2.09
"Crate Behaviours  Nudging Crate ",NA,-1.02,0.31,0.36,0.02,1.71
"Crate Behaviours  Pawing ",NA,-15.61,0.99,0,NA,2.04889698304321e+50
"Crate Stress",NA,-0.13,0.78,0.88,0.34,2.15
"Petting Handler Stimulus",NA,-0.53,0.61,0.59,0.03,3.04
"Petting Handler Holding dog",NA,-0.16,0.86,0.86,0.06,3.62
"Petting Confidence During",NA,-0.34,0.39,0.71,0.31,1.53
"Petting Responsiveness After",NA,0.38,0.31,1.47,0.72,3.19
"Isolation Response  Time oriented ","***",-0.71,0.03,0.49,0.24,0.92
"Isolation Response  Exploration ","***",0.6,0.05,1.83,1.02,3.45
"Isolation Response  Unsettled Pacing ",NA,-0.4,0.36,0.67,0.25,1.47
"Isolation Response  Whining ",NA,-0.41,0.35,0.66,0.24,1.42
"Isolation Response  Barking ",NA,-0.65,0.37,0.52,0.04,1.41
"Reunion Response",NA,-0.28,0.45,0.76,0.37,1.6
"Noise Confidence",NA,-0.32,0.49,0.73,0.27,1.7
"S Familiarisation Handler_mean","*",-0.96,0.1,0.38,0.1,1.01
"S Familiarisation Handler_prod","*",-0.35,0.15,0.7,0.39,0.99
"S Walking Pull_mean","***",-1.72,0.02,0.18,0.03,0.63
"S Walking Pull_prod","***",-0.57,0.02,0.56,0.31,0.86
"S Distractions Pull_mean",NA,-0.07,0.86,0.94,0.45,1.93
"S Distractions Pull_prod",NA,0.01,0.92,1.01,0.88,1.14
"S Walking Distractions Pull_mean","**",0.78,0.06,2.19,0.98,5.34
"S Walking Distractions Pull_prod",NA,0.1,0.16,1.1,0.96,1.27
"S Obedience_mean",NA,-0.06,0.9,0.94,0.36,2.54
"S Obedience_prod",NA,0,0.99,1,0.96,1.04
"S Sensitivity","**",-0.86,0.09,0.42,0.15,1.14
"S Tea Towel First Response",NA,-0.05,0.88,0.95,0.49,1.81
"S Tea Towel Second Response",NA,0.03,0.92,1.03,0.57,1.79
"S Distractions First Response_mean",NA,0.46,0.26,1.59,0.7,3.64
"S Distractions First Response_prod",NA,0,0.81,1,1,1
"S Distractions Second Response_mean",NA,0.22,0.57,1.24,0.55,2.65
"S Distractions Second Response_prod",NA,0,0.99,1,0.99,1
"S Distractions Difference_mean",NA,-0.27,0.55,0.76,0.31,1.9
"S Kong Response_mean",NA,0.53,0.38,1.7,0.49,5.66
"S Kong Response_prod","*",0.01,0.15,1.01,1,1.02
"S Dog Distraction_mean",NA,0.01,0.98,1.01,0.55,1.78
"S Dog Distraction_prod",NA,0.03,0.61,1.03,0.92,1.14
"S Call Response_mean",NA,0.39,0.54,1.48,0.39,5.06
"S Call Response_prod",NA,0.06,0.81,1.06,0.61,1.61
"S Familiarisation Dog Call",NA,-0.38,0.3,0.68,0.32,1.4
"S Crate Response_mean",NA,-0.12,0.82,0.88,0.3,2.44
"S Crate Response_prod",NA,-0.02,0.4,0.98,0.92,1.01
"S Crate Stimulus_mean",NA,-0.15,0.87,0.86,0.13,4.26
"S Crate Stimulus_prod",NA,-0.03,0.61,0.97,0.79,1.04
"S Crate Handler_mean","**",-1.25,0.09,0.29,0.04,0.92
"S Crate Handler_prod","*",-0.22,0.14,0.8,0.53,0.98
"S Petting Stimulus During_mean",NA,-0.57,0.39,0.57,0.13,1.9
"S Petting Stimulus During_prod",NA,-0.15,0.43,0.86,0.52,1.16
"S Petting Engagement During_mean",NA,-0.69,0.36,0.5,0.11,2.19
"S Petting Engagement During_prod",NA,-0.14,0.62,0.87,0.48,1.42
"S Petting After_mean",NA,0.6,0.38,1.82,0.49,7.33
"S Petting After_prod",NA,0.11,0.52,1.12,0.76,1.58
"S Isolation Handler_mean","***",-1.23,0.04,0.29,0.08,0.87
"S Isolation Handler_prod",NA,-0.04,0.35,0.96,0.86,1.02
"S Isolation Stimulus","***",0.6,0.03,1.83,1.1,3.25
"S Sociability_mean",NA,-0.14,0.76,0.87,0.35,2.2
"S Sociability_prod",NA,-0.01,0.61,0.99,0.97,1.02
"Body check General  Licks ",NA,0.31,0.8,1.36,0.06,11.88
"Tea Towel First Response  Indifferent ",NA,-17.36,0.99,0,NA,4.04414959802599e+76
"Tea Towel First Response  Change from Neutral ",NA,17.39,0.99,35584245.59,0,NA
"Tea Towel First Response  Turns head ",NA,1.18,0.28,3.27,0.54,63.12
"Tea Towel First Response  Attempts to Removes towel by moving ",NA,-0.17,0.8,0.84,0.22,3.02
"Tea Towel First Response  Attempts to Removes towel with mouth ",NA,-0.61,0.37,0.54,0.13,1.97
"Tea Towel First Response  Plays ",NA,-0.63,0.57,0.53,0.03,3.47
"Tea Towel Second Response  Indifferent ","***",-2.15,0.05,0.12,0.01,0.67
"Tea Towel Second Response  Turns head ",NA,0.69,0.31,2,0.55,8.33
"Tea Towel Second Response  Change from Neutral ","**",2.06,0.06,7.86,1.36,149.47
"Tea Towel Second Response  Attempts to Removes towel by moving ",NA,0,1,1,0.24,3.7
"Tea Towel Second Response  Attempts to Removes towel with mouth ",NA,-1.1,0.19,0.33,0.05,1.45
"Tea Towel Second Response  Plays ",NA,-0.45,0.69,0.64,0.03,4.29
"Sex","*",1.03,0.13,2.8,0.77,11.7
