"","Significance","Estimate","p_value","OR","2.5 %","97.5 %"
"Distractions First Response  Car ","***",0.7908,0.0211,2.20515984867186,1.18,4.71
"S Familiarisation Handler_mean","*",-0.9576,0.1038,0.383812932515679,0.1,1.01
"S Walking Pull_mean","***",-1.7199,0.0198,0.179084055421645,0.03,0.63
"S Sensitivity","**",-0.8644,0.0904,0.421304259363337,0.15,1.14
"S Crate Handler_mean","**",-1.2491,0.0924,0.286762767246625,0.04,0.92
"S Isolation Stimulus","***",0.6018,0.0265,1.82540156783557,1.1,3.25
