"","Min.","X1st.Qu.","Median","Mean","X3rd.Qu.","Max.","NA.s"
"Kong Return Handler",2,2,2,2.11864406779661,2,4,1
"Dog Response",1,4,5,4.86666666666667,6,8,0
"Dog Call Back Response",1,1,1,1.625,2,4,4
"Crate Entering",1,1,1,1.21666666666667,1,3,0
"Crate Behaviours  Settled ",1,2,3,2.58333333333333,4,5,0
"Crate Behaviours  Sniffing Exploring  ",1,2,2,2.4,3,4,0
"Crate Behaviours  Actively Seeking Attention ",1,1,1,1.83333333333333,3,5,0
"Crate Behaviours  Digging ",1,1,1,1.15,1,3,0
"Crate Behaviours  Nudging Crate ",1,1,1,1.21666666666667,1,3,0
"Crate Behaviours  Pawing ",1,1,1,1.21666666666667,1,3,0
"Crate Behaviours  Whining ",1,1,1,1.68421052631579,2,5,3
"Crate Behaviours  Barking ",1,1,1,1.15,1,5,0
"Crate Self Modulation",1,1,2,1.71666666666667,2,3,0
"Crate Stress",1,1.75,2,1.96666666666667,2,4,0
"Petting Handler Stimulus",1,1,1,1.13559322033898,1,3,1
"Petting Handler Holding dog",1,1,1,1.10169491525424,1,3,1
"Petting Confidence During",1,3,3,3.1864406779661,4,5,1
"Petting Responsiveness After",1,3,4,3.50847457627119,4,5,1
"Isolation Response  Time oriented ",1,3,4,4,5,5,0
"Isolation Response  Exploration ",1,1,2,2.01666666666667,3,5,0
"Isolation Response  Unsettled Pacing ",1,1,1.5,1.7,2,4,0
"Isolation Response  Whining ",1,1,1,1.69230769230769,2,4,8
"Isolation Response  Barking ",1,1,1,1.28813559322034,1,4,1
"Reunion Response",1,4,4,4.08333333333333,4,6,0
"Noise Confidence",3,4,4,3.96666666666667,4,6,0
"S Familiarisation Handler_mean",1,1,1.5,1.84745762711864,2,5,1
"S Familiarisation Handler_prod",1,1,2,3.71666666666667,4,25,0
"S Walking Pull_mean",1,1,1.75,1.65,2,3.5,0
"S Walking Pull_prod",1,1,3,3.11666666666667,4,12,0
"S Distractions Pull_mean",1,2,3,2.875,3.5,4.5,0
"S Distractions Pull_prod",1,4,8,8.78333333333333,12,20,0
"S Walking Distractions Pull_mean",-0.5,0.875,1,1.225,2,3,0
"S Walking Distractions Pull_prod",-2,2.75,5,5.66666666666667,8,18,0
"S Obedience_mean",1.33333333333333,2.33333333333333,3,2.88333333333333,3.33333333333333,4,0
"S Obedience_prod",2,9,21,24.3666666666667,36,64,0
"S Sensitivity",1.5,3,3.5,3.23333333333333,3.5,4,0
"S Tea Towel First Response",0,1,1.66666666666667,1.63611111111111,2.5,3.5,0
"S Tea Towel Second Response",0,0,1,1.20555555555556,2,3.5,0
"S Distractions First Response_mean",1.75,2.75,3.25,3.29583333333333,3.75,5.75,0
"S Distractions First Response_prod",6,48,93,141.05,153,1080,0
"S Distractions Second Response_mean",1.25,2.25,2.75,2.71666666666667,3,5.75,0
"S Distractions Second Response_prod",2,16,44,79.7166666666667,72,1080,0
"S Distractions Difference_mean",-2.5,-1,-0.5,-0.579166666666667,0,0.75,0
"S Kong Response_mean",1.75,2.25,2.5,2.59166666666667,2.75,4.5,0
"S Kong Response_prod",2,24,24,43.8666666666667,48,400,0
"S Dog Distraction_mean",1,2.5,3,3.36666666666667,4,6,0
"S Dog Distraction_prod",1,4,5,8.23333333333333,12,28,0
"S Call Response_mean",1,1,1,1.38135593220339,1.5,3,1
"S Call Response_prod",1,1,1,1.83333333333333,2,8,0
"S Familiarisation Dog Call",-3,-1,0,-0.510204081632653,0,1,11
"S Crate Response_mean",0.75,1.25,1.75,1.82916666666667,2.25,3.25,0
"S Crate Response_prod",0,2,8,15.3166666666667,16,108,0
"S Crate Stimulus_mean",1,1.25,1.5,1.49583333333333,1.75,3,0
"S Crate Stimulus_prod",1,2,3,5.26666666666667,4,72,0
"S Crate Handler_mean",1,1,1,1.54444444444444,2,3.66666666666667,0
"S Crate Handler_prod",1,1,1,5.41666666666667,6,45,0
"S Petting Stimulus During_mean",1,2,2,2.16101694915254,2.5,4,1
"S Petting Stimulus During_prod",1,3,3,3.73333333333333,4,15,0
"S Petting Engagement During_mean",1,2,2,2.14406779661017,2.5,3,1
"S Petting Engagement During_prod",1,3,3,3.41666666666667,4,9,0
"S Petting After_mean",1,2,2.5,2.30508474576271,2.5,3.5,1
"S Petting After_prod",1,3,4,3.8,4,12,0
"S Isolation Handler_mean",1,2,2.33333333333333,2.38611111111111,2.66666666666667,4,0
"S Isolation Handler_prod",1,4,5,9.95,8.5,64,0
"S Isolation Stimulus",-2,-0.25,0,0.316666666666667,1,4,0
"S Sociability_mean",1,3.33333333333333,3.66666666666667,3.61111111111111,4,5,0
"S Sociability_prod",1,32,48,48.0333333333333,60,120,0
