"","Estimate","P-value","OR","2.5 %","97.5 %"
"(Intercept)",-0.336472236621213,0.565537674582416,0.714285714285714,0.211398862679824,2.23783202029756
"xLeft",-1.12986483217219,0.192931455823953,0.32307692307693,0.0523804401897737,1.70967180457711
"xNone",-1.86075232373623,0.0496186258485773,0.155555558196699,0.0188757335266334,0.902218823151475
"xRigh",-1.96611275390209,0.101617975536849,0.140000014345905,0.00651294527606286,1.12096479385928
