"","Overall"
"Distractions First Response  Car ",2.27051057761785
"S Walking Pull_mean",2.30041393046037
"S Familiarisation Handler_mean",1.76256593519184
"S Isolation Stimulus",1.19313268115989
"S Crate Handler_mean",1.12729684723192
"S Sensitivity",1.1005021000733
