"","Estimate","P-value","OR","2.5 %","97.5 %"
"(Intercept)",-3.25889988140858,0.000639123280528989,0.0384306530464158,0.0035444808666916,0.168260473824207
"Distractions First Response  Car ",1.43133875216246,0.0231766222458206,4.18429718082648,1.39269436329223,18.1627967449558
"S Walking Pull_mean",-1.87666774140586,0.0214247803560056,0.15309942356621,0.0213905017841276,0.574540630197155
"S Familiarisation Handler_mean",-1.58853702316169,0.0779737266541756,0.204224168518499,0.0234157023226415,0.768534835245756
"S Isolation Stimulus",0.659703137355796,0.232817414100521,1.93421805207936,0.713666925875893,6.79251306437967
"S Crate Handler_mean",-1.12816666592209,0.259616994946998,0.323626027507235,0.0317013675162889,1.75230202020707
"S Sensitivity",-0.476026246814736,0.271113415116382,0.621247176273932,0.25216615990122,1.48769405595643
