"","Estimate","P-value","OR","2.5 %","97.5 %"
"(Intercept)",16.566068433141,0.994491577852011,15651360.9548544,6.32000428565126e-206,NA
"xLR",-17.9523627942609,0.994030626270719,1.59730518464888e-08,NA,2.5666919558912e+204
"xLRxGR",-18.1065134740881,0.993979370283659,1.36911872969903e-08,NA,2.38050560721578e+204
