"","estimate_0","estimate_1","se_0","se_1","z_value_0","z_value_1","p_value_0","p_value_1","deviance"
"Reunion.Response",-1.8398,0.1011,1.3426,0.3101,-1.3703,0.326,0.1706,0.7444,95.8503
"Noise.Confidence",-1.5005,0.0359,1.5071,0.3814,-0.9957,0.094,0.3194,0.9251,99.169
"S.Walking.Pull_mean",-1.2433,-0.0745,0.574,0.2976,-2.166,-0.2502,0.0303,0.8025,99.5684
"S.Walking.Pull_prod",-1.4192,0.0119,0.3665,0.0692,-3.8725,0.1721,1e-04,0.8634,99.6024
"S.Distractions.Pull_mean",-0.1467,-0.3824,0.9833,0.3035,-0.1492,-1.26,0.8814,0.2077,98.0122
"S.Distractions.Pull_prod",-0.7161,-0.0611,0.5665,0.0494,-1.2642,-1.2348,0.2062,0.2169,98.0262
"S.Walking.Distractions.Pull_mean",-1.0325,-0.2339,0.4432,0.261,-2.3294,-0.8963,0.0198,0.3701,98.8314
"S.Walking.Distractions.Pull_prod",-0.9265,-0.064,0.3983,0.0475,-2.326,-1.3493,0.02,0.1773,97.7644
"S.Familiarisation.Handler_mean",-1.4355,0.0395,0.6121,0.2948,-2.3454,0.1341,0.019,0.8934,99.1599
"S.Familiarisation.Handler_prod",-1.233,-0.0385,0.3556,0.0726,-3.4673,-0.531,5e-04,0.5954,99.3132
"S.Call.Response_mean",-1.6124,0.1266,0.7082,0.4139,-2.2767,0.3058,0.0228,0.7598,95.8662
"S.Call.Response_prod",-1.4694,0.0409,0.422,0.1431,-3.4819,0.2859,5e-04,0.775,99.5515
"S.Familiarization.Dog.Call",-1.5972,-0.1336,0.3493,0.301,-4.5728,-0.4439,0,0.6571,73.22
"S.Obedience_mean",-2.3011,0.3564,1.0231,0.3743,-2.2491,0.9522,0.0245,0.341,98.7129
"S.Obedience_prod",-1.4872,0.0064,0.3834,0.0159,-3.8794,0.4007,1e-04,0.6887,99.4751
"S.Sensitivity_mean",2.1042,-2.3043,1.2334,0.833,1.706,-2.7662,0.088,0.0057,91.0291
"S.Sensitivity_prod",-1.335,-2.3088,0.2513,197.1701,-5.3121,-0.0117,0,0.9907,98.2541
"S.Tea.Towel.First.Response",-0.9696,-0.2411,0.4746,0.2586,-2.043,-0.9322,0.0411,0.3512,98.2958
"S.Tea.Towel.Second.Response",-1.4635,0.0426,0.4293,0.226,-3.4093,0.1884,7e-04,0.8506,95.4847
"S.Distractions.First.Response_mean",-1.2181,-0.0434,1.1802,0.3221,-1.0321,-0.1347,0.302,0.8929,99.6135
"S.Distractions.First.Response_prod",-1.2385,-7e-04,0.3644,0.0015,-3.399,-0.4921,7e-04,0.6226,99.3768
"S.Distractions.Second.Response_mean",-1.0769,-0.0983,0.9622,0.3096,-1.1193,-0.3174,0.263,0.751,99.5299
"S.Distractions.Second.Response_prod",-1.144,-0.0026,0.3312,0.0027,-3.4537,-0.9558,6e-04,0.3391,98.5468
"S.Distractions.Difference_mean",-1.4042,-0.0531,0.3226,0.3495,-4.3529,-0.1518,0,0.8794,99.6085
"S.Kong.Response_mean",-2.5943,0.4688,1.1965,0.4424,-2.1683,1.0596,0.0301,0.2893,98.5239
"S.Kong.Response_prod",-1.6174,0.0056,0.3229,0.0044,-5.0085,1.2884,0,0.1976,98.0567
"S.Dog.Distraction_mean",-2.0022,0.1795,0.8873,0.2392,-2.2566,0.7504,0.024,0.453,99.0711
"S.Dog.Distraction_prod",-1.4431,0.0076,0.4477,0.0404,-3.2234,0.1887,0.0013,0.8503,99.5965
"S.Crate.Response_mean",-1.4696,0.0207,0.8666,0.3841,-1.6958,0.0539,0.0899,0.957,96.3893
"S.Crate.Response_prod",-1.1214,-0.0114,0.3328,0.011,-3.3696,-1.033,8e-04,0.3016,98.37
"S.Crate.Stimulus_mean",-2.8919,0.8758,0.9729,0.5668,-2.9726,1.5453,0.003,0.1223,90.7876
"S.Crate.Stimulus_prod",-1.4722,0.0143,0.2769,0.0156,-5.3177,0.9126,0,0.3614,98.8514
"S.Crate.Handler_mean",-0.7992,-0.402,0.5616,0.3135,-1.4232,-1.2824,0.1547,0.1997,91.2198
"S.Crate.Handler_prod",-1.1137,-0.0352,0.2942,0.026,-3.7854,-1.3517,2e-04,0.1765,97.1796
"S.Petting.Stimulus.During_mean",0.7838,-1.0546,1.0708,0.53,0.732,-1.9899,0.4642,0.0466,94.7927
"S.Petting.Stimulus.During_prod",-0.5913,-0.2282,0.5854,0.1655,-1.0102,-1.3787,0.3124,0.168,97.1667
"S.Petting.Engagement.During_mean",0.291,-0.8025,1.1591,0.5618,0.2511,-1.4282,0.8018,0.1532,97.0767
"S.Petting.Engagement.During_prod",-0.7949,-0.1717,0.6557,0.186,-1.2122,-0.923,0.2254,0.356,98.6744
"S.Petting.After_mean",-0.526,-0.3457,1.2713,0.521,-0.4137,-0.6636,0.6791,0.5069,98.7366
"S.Petting.After_prod",-1.4905,0.0274,0.6517,0.1405,-2.2871,0.1953,0.0222,0.8452,99.5942
"S.Isolation.Handler_mean",-1.5972,0.0953,0.9862,0.3828,-1.6196,0.2489,0.1053,0.8035,99.1161
"S.Isolation.Handler_prod",-1.4082,0.0028,0.3439,0.0187,-4.0955,0.1482,0,0.8822,99.6101
"S.Isolation.Stimulus",-1.3548,-0.2097,0.2526,0.1936,-5.364,-1.0832,0,0.2787,97.9936
"S.Sociability_mean",1.0135,-0.6653,1.4267,0.3998,0.7104,-1.6641,0.4775,0.0961,96.7445
"S.Sociability_prod",-0.8044,-0.0123,0.5117,0.0102,-1.5719,-1.2066,0.116,0.2276,98.0273
"Body.check.General..Mouths.",-1.32175583998232,-15.2443125824936,0.251661147842358,1385.37781251033,-5.25212513458881,-0.0110037221939268,1.50354252656652e-07,0.991220477124015,97.7841018148498
"Body.check.General..Licks.",-1.2299482907292,-1.3350010667275,0.260799145573601,1.07001690240107,-4.71607484765354,-1.24764483975143,2.40438015136747e-06,0.212161149903765,97.0231178461464
"Tea.Towel.First.Response..Indifferent.",-1.50407739677627,1.09861228866811,0.276385388561665,0.702179140301932,-5.44195698840532,1.56457551301754,5.26984013223903e-08,0.117682474204554,96.9087524383645
