"","Estimate","P-value","OR","2.5 %","97.5 %"
"(Intercept)",16.5660684104178,0.994491577857107,15651360.5992054,6.32000552262789e-206,NA
"xLR",-17.9523627715377,0.994030626275608,1.59730522094477e-08,NA,2.5666914540079e+204
"xLRxGR",-18.0324054792112,0.994004011601706,1.4744355885644e-08,NA,2.54966177665435e+204
