"","Estimate","P-value","OR","2.5 %","97.5 %"
"(Intercept)",-2.39859032898283,0.000360434975872027,0.0908459259373758,0.0177755937444303,0.269794864684094
"S Crate Stimulus_mean",1.28422896515104,0.0138796530925795,3.61188199642946,1.43188978959794,11.9015824465235
"S Crate Handler_mean",-1.08717031751589,0.0558856393030151,0.337169226960425,0.0945195389884112,0.93076851784549
"S Familiarisation Handler_mean",0.59959111851541,0.0837006088441904,1.82137392204417,0.928695872880823,3.88333444038505
"Walking Initiative",0.522763978610982,0.246357240409945,1.68668316905985,0.701696292001177,4.3927579546122
"S Distractions Difference_mean",0.484534854213012,0.27129640865121,1.62341970635804,0.698343130876596,4.11026810152406
"S Distractions Pull_mean",-0.417135851325034,0.354936682190767,0.658931397159953,0.255293374907346,1.59151200878019
