"","Estimate","P-value","OR","2.5 %","97.5 %"
"(Intercept)",-1.09861228866811,0.178457442476659,0.333333333333333,0.0488384187248935,1.44675520744424
"xLeft",0.405465108108165,0.691166119106442,1.5,0.211784180900223,13.5626510952564
"xNone",-1.89711997211579,0.147613845740368,0.150000001915513,0.00628037007521769,1.8250845591711
"xRigh",9.36222258286427e-16,0.999999999999999,1,0.125802320723709,9.38536182158431
