,,,Data Collection 1,,,,,,,,,,Date Collection 2,,,,,,,,,
Intake,Name,Code,Date,Video,Actigraph,Bioharness,Polar,Position,Researcher-Ethogram,Researcher-Name,Trainer-Ethogram,Trainer-Name,Date,Video,Actigraph,Bioharness,Polar,Position,Researcher-Ethogram,Researcher-Name,Trainer-Ethogram,Trainer-Name
7,Harvey,08-02-LH,18/09/2019,Done,Done,Format,Done,Done,Done,Hazel,Done,Allyce,30/10/2019,Done,Done,Done,Done,,Done,Hazel,Done,Allyce
7,Hans,08-03-LH,23/09/2019,Done,Done,Failure,Done,Short Video?,USB,Con,Done,Susan,NA,Missing,Done,Done,Done,,NA,NA,NA,
7,Harmony,08-04-LH,18/09/2019,Done,Done,Format,Done,Done,Done,Hazel,Done,Susan,30/10/2019,Done,Done,Done,Done,,Done,Hazel,Done,Susan
8,Jira,08-11-LJ,23/09/2019,Done,Missing,Failure,Done,,Done,Con,Done,Susan,06/11/2019,Done,Done,Done,Done,,Done,Con,Done,Susan
8,Hayley,08-12-LH,23/09/2019,Done,Missing,Format,Done,,Done,Con,Done,Susan,06/11/2019,Done,Done,Done,Done,,Done,Con,Done,Susan
8,Jojo,08-13-LJ,23/09/2019,Done,Missing,Failure,Done,,Done,Con,Done,Allyce,14/11/2019,Done,Missing,Done,Done,,Done,Con,Done,Allyce
9,Irrie,09-01-LI,02/10/2019,Done,Done,Failure,Done,,Done,Hazel,Done,Allyce,20/11/2019,Done,Done,Done,Done,Done,Done,Hazel,Done,Allyce
9,Judson,09-02-LJ,02/10/2019,Done,Done,Failure,Done,,Done,Hazel,Done,Allyce,20/11/2019,Done,Done,Done,Done,Done,Done,Hazel,????,
9,Josie,09-03-LJ,02/10/2019,Done,Done,Failure,Done,,Done,Hazel,Done,Allyce,20/11/2019,Done,Done,Done,Done,Done,Done,Hazel,Done,Allyce
9,Jazzi,09-04-LJ,02/10/2019,Done,Done,Failure,Done,,Done,Hazel,Done,Allyce,20/11/2019,Done,Done,Done,Done,Done,Done,Hazel,Done,Allyce
10,Fergus,10-01-LF,24/10/2019,Done,Done,Done,Done,,Done,Con,Done,Susan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Hollie,10-02-LH,24/10/2019,Done,Done,Done,Done,,Done,Con,Done,Allyce,NA,NA,NA,NA,NA,NA,NA,NA,No 2nd Video?,
10,July,10-03-LJ,30/10/2019,Done,Done,Done,Done,,Done,Hazel,Done,Susan,08/01/2020,Done,Done,Done,Done,Done,Done,Hazel,Done,Susan
10,Jane,10-04-LJ,24/10/2019,Done,Done,Done,Done,,Done,Con,Done,Allyce,08/01/2020,Done,Done,Done,Done,Done,Done,Hazel,Done,Allyce
11,Junior,10-11-LJ,06/11/2019,Done,Done,Done,Done,Done,Done,Con,"Done, Done","Susan, Allyce",09/01/2020,Done,Done,Done,Done,,Done,Hazel,"Done, Done","Susan, Allyce"
11,Joy,10-12-LJ,01/11/2019,Done,Done,Done,Missing,Done,Done,Con,"Done, Done","Susan, Allyce",18/12/2019,Done,Done,Done,Done,,Done,Con,"Done, Done","Susan, Allyce"
11,Kelvin,10-13-LK,01/11/2019,Done,Done,Done,Done,Done,Done,Con,Done,Susan,09/01/2020,Done,Done,Done,Done,,Done,Con,Done,Susan
11,Kirby,10-15-LK,01/11/2019,Done,Done,Done,Done,,Done,Con,Done,Allyce,08/01/2020,Done,Done,Done,Done,Done,Done,Con,Done,Allyce
12,Idris,10-14-LI,06/11/2019,Done,Done,Done,Done,Done,Done,Hazel,Done,Susan,09/01/2020,Done,Done,Done,Done,,Done,Hazel,Done,Susan
13,Kacie,10-31-LK,14/11/2019,Done,Missing,Done,Done,,Done,Hazel,Done,Allyce,09/01/2020,Done,Done,Done,Done,,Done,Hazel,Done,Allyce
14,Mac,11-01-LM,18/12/2019,Done,Done,Done,Done,,Done,Con,Done,Susan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,Meeko,11-02-IM,18/12/2019,Done,Done,Done,Done,Done,USB,Con,Done,Allyce,16/01/2020,Done,Done,Done,Done,,Done,Con,Done,Allyce
15,Kain,11-11-IK,18/12/2019,Done,Done,Done,Done,Done,Done,Con,Done,Allyce,16/01/2020,Done,Done,Done,Done,,Done,Con,Done,Allyce
15,Mara,11-12-IM,18/12/2019,Done,Done,Done,Done,,Done,Con,Done,Allyce,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,Katie,11-21-IK,12/12/2019,Done,Done,Done,Done,Done,Done,Hazel,Done,Susan,28/01/2020,Done,Done,Done,Done,,Done,Hazel,Done,Susan
16,Meg,11-22-IM,12/12/2019,Done,Done,Done,Done,Done,Done,Con,Done,Susan,30/01/2020,Done,Done,Done,Done,,Done,Con,Done,Susan
16,Tosh,11-23-IT,12/12/2019,Done,Done,Done,Done,Done,Done,Hazel,Done,Susan,28/01/2020,Done,Done,Done,Done,,Done,Hazel,Done,Susan
16,Kaiser,11-24-IK,13/12/2019,Done,Done,Done,Done,Done,Done,Con,Done,Allyce,28/01/2020,Done,Done,Done,Done,,Done,Con,Done,Allyce
16,Jessie,11-25-IJ,13/12/2019,Done,Done,Done,Done,Done,Done,Hazel,Done,Allyce,28/01/2020,Done,Done,Done,Done,,Done,Hazel,Done,Allyce
16,Lexie,11-26-IL,12/12/2019,Done,Done,Done,Done,Done,Done,Con,Done,Susan,30/01/2020,Done,Done,Done,Done,,Done,Con,Done,Susan
16,Illana,11-27-II,18/12/2019,Done,Done,Done,Done,Done,Done,Con,Done,Susan,30/01/2020,Done,Done,Done,Missing,,USB,Con,Done,Susan
16,Zander,11-28-IZ,13/12/2019,Done,Done,Done,Done,Done,USB,Con,Done,Allyce,28/01/2020,Done,Done,Done,Done,,Done,Con,Done,Allyce
17,Kali,12-01-LK,09/01/2020,Done,Done,Done,Done,,Done,Con,Done,Allyce,19/02/2020,Done,Done,,,,,,Done,Allyce
17,Minnie,12-02-LM,09/01/2020,Done,Done,Done,Done,,Done,Con,"Done, Done","Allyce, Susan",19/02/2020,Done,,,,,,,"Done, Done","Allyce, Susan"
17,Milo,12-03-LM,09/01/2020,Done,Done,Done,Done,,Done,Con,"Done, Done","Allyce, Susan",19/02/2020,Done,,,,,,,Done,"Allyce, Susan"
18,Molly,01-01-LM,29/01/2020,Done,Done,Done,Done,,,,Done,Susan,,,,,,,,,,
18,Mandy,01-02-LM,29/01/2020,Done,Done,Done,Done,,,,Done,Allyce,,,,,,,,,,
18,Nina,01-03-LN,30/01/2020,Done,Done,Done,Missing,,,,Done,Susan,,,,,,,,,,
18,Niamh,01-04-LN,29/01/2020,Done,Done,Done,Done,,,,Done,Allyce,,,,,,,,,,
18,Noel,01-05-LN,29/01/2020,Done,Done,Done,Done,,,,Done,Susan,,,,,,,,,,
18,Nala,01-06-LN,29/01/2020,Done,Done,Done,Done,,,,Done,Allyce,,,,,,,,,,
18,Kyle,12-11-LK,11/02/2020,Done,Done,Done,Done,,,,Done,Susan,,,,,,,,,,
19,Zeus,01-11-LZ,11/02/2020,Done,Done,Done,Done,,,,Done,Allyce,,,,,,,,,,
19,Odin,01-12-LO,11/02/2020,Done,Done,Done,Done,,,,Done,Susan,,,,,,,,,,
19,Oj,01-13-LO,11/02/2020,Done,Done,Done,Done,,,,Done,Allyce,,,,,,,,,,
19,Ozark,01-14-LO,19/02/2020,,,,,,,,Done,Susan,,,,,,,,,,
19,Orbet,01-15-LO,11/02/2020,Done,Done,Done,Done,,,,Done,Allyce,,,,,,,,,,
20,Noelle,02-01-LN,,,,,,,57,,68,,,,,,,,48,,48,
20,Ocean,02-02-LO,,,,,,,,,,,,,,,,,,,,
21,Niff,02-03-LN,,,,,,,,,,,,,,,,,,,,
21,Pennie,02-04-LP,,,,,,,,,,,,,,,,,,,,
22,Patch,02-05-LP,,,,,,,,,,,,,,,,,,,,
22,Prince,02-06-LP,,,,,,,,,,,,,,,,,,,,
23,Peaches,03-01-LP,,,,,,,,,,,,,,,,,,,,
23,Peppa,03-02-LP,,,,,,,,,,,,,,,,,,,,
23,Oonagh,03-03-LP,,,,,,,,,,,,,,,,,,,,
24,Quill,03-04-LQ,,,,,,,,,,,,,,,,,,,,
