"","PC2","PC3","PC4"
"Crate Behaviours  Actively Seeking Attention ",-0.226251683999498,0.238584089970124,-0.670654672996464
"Isolation Response  Unsettled Pacing ",-0.174257587969669,-0.128985992968029,0.693790708785147
"S Kong Response_prod",-0.623137735464763,0.709471640092862,0.218810096889039
"S Sensitivity_mean",-0.728109765874783,-0.650453870412901,-0.144909984096396
