"","Estimate","Std. Error","z value","Pr(>|z|)","OR","2.5 %","97.5 %"
"(Intercept)",1.80696858541316,0.342651266656928,5.27349162617382,1.33852364125549e-07,6.09195218030415,3.30230782298409,12.8833667462082
"PC4",-1.34717017081756,0.43064270032655,-3.12827819859949,0.00175833666035297,0.25997490526988,0.104006640053078,0.573241777432
"PC3",-0.720829304400612,0.287916498482458,-2.50360541406949,0.0122935052799223,0.486348757506743,0.267305190935913,0.844490554542429
"PC2",-0.431299645242897,0.252009941027986,-1.71143901499902,0.0870001001102587,0.649664212815197,0.387002491283238,1.05549586537422
