"","Estimate","Std. Error","z value","Pr(>|z|)","OR","2.5 %","97.5 %"
"(Intercept)",4.6109106456534,1.46072815092668,3.15658368241089,0.00159629076148814,100.575696767663,11.343780306374,4270.19953874539
"PC3",3.42520217114797,1.13307243992344,3.02293308923779,0.00250337587692938,30.7288567117897,5.25072451276168,540.655783976303
"PC2",3.12178287392713,1.19287707012822,2.61701976850941,0.00887012040775834,22.6867912967223,3.25245401265468,391.109466350147
