"","Min.","X1st.Qu.","Median","Mean","X3rd.Qu.","Max.","NA.s"
"S Sensitivity_mean",0.75,1.4375,1.75,1.625,1.75,2.25,0
"S Sensitivity_prod",0,0,0,0,0,0,0
"S Tea Towel First Response",0,1,1.66666666666667,1.61666666666667,2.5,3.5,0
"S Tea Towel Second Response",0,0,0.916666666666667,1.19722222222222,2,3.5,0
"S Distractions First Response_mean",1.75,2.75,3.25,3.27916666666667,3.5625,5.75,0
"S Distractions First Response_prod",6,47.25,85,138.45,144,1080,0
"S Distractions Second Response_mean",1.25,2.25,2.75,2.72916666666667,3,5.75,0
"S Distractions Second Response_prod",2,16,48,80.7666666666667,72,1080,0
"S Distractions Difference_mean",-2.5,-1,-0.5,-0.55,0,0.75,0
"S Kong Response_mean",1.75,2.25,2.5,2.59583333333333,2.75,4.5,0
"S Kong Response_prod",2,24,24,44.0666666666667,48,400,0
"S Dog Distraction_mean",1,2.5,3,3.34166666666667,4,6,0
"S Dog Distraction_prod",1,4,5,8.05,12,28,0
"S Crate Response_mean",0.75,1.25,1.75,1.83333333333333,2.25,3.25,0
"S Crate Response_prod",0,2,8,15.3833333333333,16,108,0
"S Crate Stimulus_mean",1,1.25,1.5,1.5,1.75,3,0
"S Crate Stimulus_prod",1,2,3,5.28333333333333,4,72,0
"S Crate Handler_mean",1,1,1,1.54444444444444,2,3.66666666666667,0
"S Crate Handler_prod",1,1,1,5.41666666666667,6,45,0
"S Petting Stimulus During_mean",1,2,2,2.16101694915254,2.5,4,1
"S Petting Stimulus During_prod",1,3,3,3.73333333333333,4,15,0
"S Petting Engagement During_mean",1,2,2,2.13559322033898,2.5,3,1
"S Petting Engagement During_prod",1,3,3,3.36666666666667,4,9,0
"S Petting After_mean",1,2,2.5,2.29661016949153,2.5,3.5,1
"S Petting After_prod",1,3,4,3.73333333333333,4,12,0
"S Isolation Handler_mean",1.33333333333333,2,2.33333333333333,2.40277777777778,2.66666666666667,4,0
"S Isolation Handler_prod",2,4,5,10,8.5,64,0
"S Isolation Stimulus",-2,-0.25,0,0.25,1,3,0
"S Sociability_mean",1,3.33333333333333,3.66666666666667,3.61111111111111,4,5,0
"S Sociability_prod",1,32,48,48.0333333333333,60,120,0
