"","estimate_0","estimate_1","se_0","se_1","z_value_0","z_value_1","p_value_0","p_value_1","deviance"
"Reunion Response",-0.4495,-0.2889,1.5643,0.3863,-0.2873,-0.748,0.7739,0.4545,53.5266
"Noise Confidence",-1.7533,0.0361,1.883,0.4631,-0.9311,0.0779,0.3518,0.9379,54.0613
"S Walking Pull_mean",1.2815,-2.0805,1.159,0.92,1.1057,-2.2614,0.2688,0.0237,45.6474
"S Walking Pull_prod",-0.0854,-0.7148,0.6185,0.3262,-0.1381,-2.1911,0.8901,0.0284,45.184
"S Distractions Pull_mean",-1.7203,0.0384,1.1866,0.392,-1.4498,0.098,0.1471,0.9219,54.0577
"S Distractions Pull_prod",-1.8629,0.0281,0.7086,0.0667,-2.6291,0.4213,0.0086,0.6735,53.8926
"S Walking Distractions Pull_mean",-3.0485,1.0055,0.8408,0.4704,-3.6257,2.1374,3e-04,0.0326,48.9522
"S Walking Distractions Pull_prod",-2.4384,0.1272,0.6459,0.0735,-3.775,1.7292,2e-04,0.0838,51.0562
"S Familiarisation Handler_mean",0.4911,-1.2823,1.1,0.7161,0.4464,-1.7906,0.6553,0.0734,48.8941
"S Familiarisation Handler_prod",-0.4746,-0.457,0.6947,0.2982,-0.6832,-1.5322,0.4944,0.1255,49.4793
"S Call Response_mean",-2.1258,0.3828,1.0371,0.6829,-2.0498,0.5606,0.0404,0.5751,53.3974
"S Call Response_prod",-1.7086,0.0536,0.5785,0.2463,-2.9537,0.2178,0.0031,0.8276,54.0217
"S Familiarization Dog Call",-1.5629,-0.3751,0.4316,0.3861,-3.6209,-0.9717,3e-04,0.3312,48.6426
"S Obedience_mean",-1.3883,-0.0776,1.5359,0.5271,-0.9039,-0.1472,0.366,0.8829,54.0457
"S Obedience_prod",-1.599,-4e-04,0.6052,0.021,-2.6423,-0.021,0.0082,0.9833,54.0669
"S Sensitivity_mean",0.5529,-1.3703,1.6273,1.037,0.3397,-1.3215,0.734,0.1863,52.3319
"S Sensitivity_prod",-1.6094,0.3464,-4.6461,0,54.0673,-1.6094,0.3464,-4.6461,0
"S Tea Towel First Response",-1.6752,0.0403,0.668,0.3475,-2.5078,0.1161,0.0121,0.9076,54.0539
